Title,URL,Price,Quantity
A Light in the Attic,http://books.toscrape.com/catalogue/category../../a-light-in-the-attic_1000/index.html,£51.77,22
Tipping the Velvet,http://books.toscrape.com/catalogue/category../../tipping-the-velvet_999/index.html,£53.74,20
Soumission,http://books.toscrape.com/catalogue/category../../soumission_998/index.html,£50.10,20
Sharp Objects,http://books.toscrape.com/catalogue/category../../sharp-objects_997/index.html,£47.82,20
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/category../../sapiens-a-brief-history-of-humankind_996/index.html,£54.23,20
The Requiem Red,http://books.toscrape.com/catalogue/category../../the-requiem-red_995/index.html,£22.65,19
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/category../../the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/category../../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/category../../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60,19
The Black Maria,http://books.toscrape.com/catalogue/category../../the-black-maria_991/index.html,£52.15,19
"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/category../../starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99,19
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/category../../shakespeares-sonnets_989/index.html,£20.66,19
Set Me Free,http://books.toscrape.com/catalogue/category../../set-me-free_988/index.html,£17.46,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/category../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29,19
Rip it Up and Start Again,http://books.toscrape.com/catalogue/category../../rip-it-up-and-start-again_986/index.html,£35.02,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/category../../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25,19
Olio,http://books.toscrape.com/catalogue/category../../olio_984/index.html,£23.88,19
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/category../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59,19
Libertarianism for Beginners,http://books.toscrape.com/catalogue/category../../libertarianism-for-beginners_982/index.html,£51.33,19
It's Only the Himalayas,http://books.toscrape.com/catalogue/category../../its-only-the-himalayas_981/index.html,£45.17,19
In Her Wake,http://books.toscrape.com/catalogue/category../../in-her-wake_980/index.html,£12.84,19
How Music Works,http://books.toscrape.com/catalogue/category../../how-music-works_979/index.html,£37.32,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",http://books.toscrape.com/catalogue/category../../foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,£30.52,19
Chase Me (Paris Nights #2),http://books.toscrape.com/catalogue/category../../chase-me-paris-nights-2_977/index.html,£25.27,19
Black Dust,http://books.toscrape.com/catalogue/category../../black-dust_976/index.html,£34.53,19
Birdsong: A Story in Pictures,http://books.toscrape.com/catalogue/category../../birdsong-a-story-in-pictures_975/index.html,£54.64,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,http://books.toscrape.com/catalogue/category../../americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,£22.50,19
